DATE,TPS_Air_Temp_C,Temp1_Avg,Temp2_Avg,Temp3_Avg,Temp4_Avg,Temp5_Avg,Temp6_Avg,Temp7_Avg,Temp8_Avg,RH1,RH2,RH3,RH4,RH5,RH6,RH7,RH8,CMP10_Solar_uWm2_Avg,TPS_Wind_Spd_ms,WS_ms,Mean_WindDir,SDMS40_Depth_Avg,SR50A_SnowDepth,SR50A_QualityVal,Ice_mm,Ice_Inch,LWMDry_Tot,LWMWet_Tot,LWMCon_Tot,Visibilitystr,TPS_Raw_Precip_Rate_1minAvg_mmHr,TPS_Raw_Precip_Rate_5minAvg_mmHr,TPS_Total_Accum_mm,TPS_Pwr_Sensor_W,TPS_Pwr_Ref_W,WS_ms_Max,WindDir_Max,WindDir_SD,TPS_Baro_Press_mbar_Corrected
2020-12-08 00:00:00,-3.91,-4.59,-4.62,-4.64,-4.63,-4.67,-4.52,-4.66,-4.56,70.64,70.48,70.7,70.54,70.26,70.18,70.58,70.82,0.0,0.82,1.22,308.15,7.0,-0.0,190.0,0.0,0.0,0.0,0.0,1.0,75000.0,0.21,0.04,0.0,35.43,32.78,1.99,339.21,19.47,1009.8
2020-12-08 00:15:00,-3.9,-4.63,-4.65,-4.7,-4.67,-4.71,-4.59,-4.72,-4.59,71.37,71.06,71.42,71.17,70.8,70.66,71.05,71.55,0.0,0.57,1.01,311.99,7.0,-0.0,190.0,0.0,0.0,0.0,0.0,1.0,75000.0,0.23,0.05,0.0,29.4,26.66,1.68,340.14,20.35,1010.0
2020-12-08 00:30:00,-3.81,-4.63,-4.66,-4.68,-4.68,-4.71,-4.59,-4.73,-4.59,71.47,71.3,71.54,71.37,71.05,70.96,71.34,71.64,0.0,0.65,1.05,308.65,7.0,-0.0,190.0,0.0,0.0,0.0,0.0,1.0,75000.0,0.18,0.01,0.0,30.95,28.72,1.8,340.57,19.68,1010.0
2020-12-08 00:45:00,-3.73,-4.59,-4.64,-4.65,-4.65,-4.7,-4.56,-4.7,-4.54,72.0,71.89,72.09,71.94,71.63,71.49,71.98,72.13,0.0,0.56,0.96,302.67,7.0,-0.0,190.0,0.0,0.0,0.0,0.0,1.0,75000.0,0.25,0.07,0.0,29.77,26.9,1.56,334.92,20.91,1010.0
2020-12-08 01:00:00,-3.63,-4.49,-4.54,-4.55,-4.55,-4.62,-4.48,-4.64,-4.45,72.0,71.91,72.09,71.96,71.66,71.64,72.22,72.1,0.0,0.79,0.81,287.71,7.0,-0.0,187.33,0.0,0.0,0.0,0.0,1.0,75000.0,0.03,-0.1,0.01,32.45,31.51,1.54,326.77,25.77,1010.0
2020-12-08 01:15:00,-3.57,-4.45,-4.49,-4.5,-4.5,-4.58,-4.46,-4.59,-4.38,71.93,71.83,72.01,71.87,71.6,71.57,72.14,72.04,0.0,0.75,1.08,283.19,7.0,-0.0,185.0,0.0,0.0,0.0,0.0,1.0,75000.0,0.11,-0.07,0.01,32.32,30.65,1.86,321.23,24.78,1010.0
2020-12-08 01:30:00,-3.56,-4.45,-4.52,-4.53,-4.5,-4.58,-4.46,-4.59,-4.42,72.16,72.02,72.22,72.04,71.76,71.71,72.3,72.24,0.0,0.83,1.0,291.33,7.0,-0.0,188.6,0.0,0.0,0.0,0.0,1.0,75000.0,0.06,-0.11,0.01,33.56,32.31,1.97,333.17,29.18,1010.0
2020-12-08 01:45:00,-3.77,-4.5,-4.56,-4.55,-4.56,-4.63,-4.5,-4.65,-4.45,72.22,72.21,72.31,72.2,71.95,71.93,72.5,72.32,0.0,1.19,1.81,310.56,7.0,-0.0,191.0,0.0,0.0,0.0,0.0,1.0,71625.47,0.16,-0.02,0.01,41.53,39.38,3.33,339.13,26.46,1010.0
2020-12-08 02:00:00,-3.99,-4.58,-4.64,-4.65,-4.65,-4.71,-4.59,-4.73,-4.53,72.3,72.36,72.42,72.36,72.11,72.12,72.76,72.37,0.0,1.61,2.38,319.97,7.2,-0.0,190.33,0.0,0.0,0.0,0.0,1.0,69675.6,0.19,0.02,0.01,49.97,47.42,3.62,348.61,24.09,1010.0
2020-12-08 02:15:00,-4.14,-4.65,-4.71,-4.72,-4.72,-4.78,-4.65,-4.8,-4.6,71.79,71.88,71.92,71.88,71.66,71.65,72.24,71.84,0.0,2.09,3.13,317.52,7.2,-0.0,190.0,0.0,0.0,0.0,0.0,1.0,72322.67,0.24,0.04,0.01,58.72,55.63,4.72,343.85,19.2,1010.0
2020-12-08 02:30:00,-4.17,-4.75,-4.81,-4.79,-4.81,-4.87,-4.76,-4.9,-4.68,72.5,72.59,72.63,72.57,72.33,72.36,73.02,72.55,0.0,1.71,2.14,319.32,7.07,-0.0,190.0,0.0,0.0,0.0,0.0,1.0,74985.07,0.1,-0.02,0.05,50.91,49.11,3.6,348.58,26.32,1010.0
