Time,Precipitation,pressure,humidex,Rosee,Temperature,Chill,Humidite,Dir_wind,Mod_wind
20-03-17_16,0.0,1028.0,5.0,1.3,5.8,5.8,73.0,251.0,11.0
20-03-17_17,0.0,1028.0,6.0,0.3,6.6,6.6,64.0,256.0,13.0
20-03-17_18,0.0,1029.0,6.0,0.3,6.6,6.6,64.0,250.0,12.0
20-03-17_19,0.0,1030.0,6.0,-0.1,6.2,6.2,64.0,248.0,8.0
20-03-17_20,0.0,1032.0,5.0,-1.3,5.6,5.6,61.0,263.0,9.0
20-03-17_21,0.0,1034.0,3.0,-2.9,4.2,4.2,60.0,284.0,18.0
20-03-17_22,0.0,1035.0,3.0,-3.1,3.7,3.7,61.0,283.0,10.0
20-03-17_23,0.0,1036.0,2.0,-4.1,3.6,3.6,57.0,280.0,9.0
20-03-18_00,0.0,1037.0,2.0,-3.0,3.4,3.4,63.0,250.0,6.0
20-03-18_01,0.0,1037.0,3.0,-5.3,3.9,3.9,51.0,260.0,10.0
20-03-18_02,0.0,1039.0,2.0,-6.4,3.0,3.0,50.0,273.0,16.0
20-03-18_03,0.0,1042.0,-0.0,-5.4,1.5,1.5,60.0,299.0,12.0
20-03-18_04,0.0,1045.0,-1.0,-5.5,0.7,0.7,63.0,309.0,9.0
20-03-18_05,0.0,1051.0,-2.0,-8.9,0.3,0.3,50.0,287.0,6.0
20-03-18_06,0.0,1022.0,-2.0,-9.5,-0.1,-2.0,49.0,269.0,5.0
20-03-18_07,0.0,1042.0,-3.0,-11.1,-1.0,-3.0,46.0,225.0,6.0
20-03-18_08,0.0,1043.0,-4.0,-13.0,-1.2,-4.0,40.0,201.0,7.0
20-03-18_09,0.0,1042.0,-3.0,-17.8,-0.7,-3.0,26.0,160.0,7.0
20-03-18_10,0.0,1041.0,-3.0,-18.5,-0.5,-3.0,24.0,125.0,7.0
20-03-18_11,0.0,1050.0,-1.0,-18.1,1.2,1.2,22.0,92.0,7.0
20-03-18_12,0.0,1051.0,-1.0,-18.0,0.7,0.7,23.0,101.0,8.0
20-03-18_13,0.0,1048.0,0.0,-16.5,1.9,1.9,24.0,102.0,6.0
20-03-18_14,0.0,1048.0,-0.0,-16.2,1.7,1.7,25.0,103.0,10.0
20-03-18_15,0.0,1047.0,1.0,-14.6,2.5,2.5,27.0,142.0,9.0
20-03-18_16,0.0,1047.0,1.0,-12.8,2.6,2.6,31.0,133.0,12.0
