DATE,SW_IN,SW_OUT,LW_IN,LW_OUT,WS,WD,TS_1_1_1,TS_2_1_1,SWC_1_1_1,PA,NETRAD,ALB,FC,G,SG,ET,LE,H,FETCH_MAX
2020-12-08 00:00:00,-14.38,-9.118,235.653,293.858,1.202,275.988,1.395,0.0,6.336,99.376,-63.468,0.0,-0.366,-8.158,1.735,0.006,4.064,-5.346,15.041
2020-12-08 00:30:00,-13.084,-8.534,251.394,294.888,1.209,273.491,1.381,0.0,6.328,99.412,-48.043,0.0,0.607,-11.701,-1.751,0.005,3.824,-6.748,16.295
2020-12-08 01:00:00,-11.809,-9.202,269.194,297.293,1.107,269.539,1.346,0.0,6.319,99.444,-30.706,0.0,0.257,-12.881,-2.715,0.004,2.847,-1.554,5.607
2020-12-08 01:30:00,-11.98,-10.25,268.721,297.965,1.187,249.021,1.32,0.0,6.305,99.458,-30.974,0.0,0.105,-10.191,0.07,0.005,3.565,0.852,13.233
2020-12-08 02:00:00,-12.965,-10.068,265.251,297.224,1.525,261.616,1.326,0.0,6.282,99.454,-34.869,0.0,0.19,-10.508,-0.198,0.009,6.09,2.097,17.437
2020-12-08 02:30:00,-12.38,-9.088,265.083,296.358,2.64,276.962,1.315,0.0,6.259,99.457,-34.567,0.0,1.542,-11.274,-0.926,0.01,6.809,2.528,15.134
2020-12-08 03:00:00,-11.515,-8.993,265.774,296.0,1.832,282.016,1.309,0.0,6.238,99.463,-32.748,0.0,1.217,-10.409,-0.03,0.007,5.087,1.826,13.962
2020-12-08 03:30:00,-11.946,-9.711,268.03,296.047,1.792,288.602,1.306,0.0,6.221,99.476,-30.252,0.0,2.222,-11.039,-0.633,0.006,4.376,3.47,12.226
2020-12-08 04:00:00,-12.151,-9.589,262.373,295.107,1.778,287.516,1.302,0.0,6.197,99.464,-35.296,0.0,0.411,-10.397,0.035,0.008,5.533,4.067,13.138
2020-12-08 04:30:00,-12.275,-9.493,261.284,294.453,1.996,264.72,1.291,0.0,6.167,99.452,-35.951,0.0,-0.043,-11.584,-1.128,0.004,3.119,6.886,17.283
2020-12-08 05:00:00,-13.95,-8.591,222.571,289.141,1.063,253.51,1.32,0.0,6.15,99.447,-71.929,0.0,0.474,-6.499,3.981,0.003,1.908,-7.653,16.201
2020-12-08 05:30:00,-11.4,-9.567,267.195,293.373,1.237,183.012,1.288,0.0,6.131,99.417,-28.011,0.0,1.299,-18.76,-8.258,0.003,2.188,-11.006,15.456
2020-12-08 06:00:00,-10.766,-10.728,280.083,296.59,1.101,177.65,1.199,0.0,6.092,99.407,-16.544,0.0,0.91,-12.291,-1.762,0.01,6.744,4.79,21.522
2020-12-08 06:30:00,-11.156,-11.402,280.832,297.427,1.137,198.794,1.19,0.0,6.062,99.408,-16.35,0.0,1.226,-10.512,0.048,0.009,6.487,0.425,16.756
2020-12-08 07:00:00,-11.268,-10.754,280.601,297.512,1.03,170.636,1.19,0.0,6.033,99.415,-17.426,0.0,0.501,-10.688,-0.098,0.008,5.663,2.981,17.353
2020-12-08 07:30:00,-10.557,-11.26,280.052,297.734,0.87,90.034,1.193,0.0,6.018,99.421,-16.979,0.0,1.295,-10.548,0.065,0.006,4.002,3.566,3.54
2020-12-08 08:00:00,-11.132,-11.09,275.621,296.802,0.954,60.667,1.195,0.0,5.982,99.41,-21.223,0.0,2.156,-10.376,0.251,0.034,23.458,1.475,14.78
2020-12-08 08:30:00,-12.223,-10.192,266.168,294.939,0.883,167.771,1.202,0.0,5.948,99.39,-30.802,0.0,-8.348,-10.359,0.273,0.013,8.734,-3.321,18.407
2020-12-08 09:00:00,-12.732,-10.751,260.717,293.624,1.11,211.475,1.206,0.0,5.916,99.374,-34.888,0.0,3.755,-10.618,0.016,-0.002,-1.224,0.996,17.248
2020-12-08 09:30:00,-12.447,-9.928,256.159,292.458,1.348,254.581,1.201,0.0,5.884,99.367,-38.818,0.0,0.035,-10.794,-0.162,0.006,3.982,-0.376,13.074
2020-12-08 10:00:00,-12.476,-9.101,240.873,289.623,1.173,260.393,1.207,0.0,5.856,99.374,-52.126,0.0,-1.391,-10.961,-0.329,0.002,1.309,0.618,13.114
2020-12-08 10:30:00,-10.604,-10.07,273.068,293.511,0.937,188.771,1.156,0.0,5.824,99.402,-20.977,0.0,1.578,-15.855,-5.219,0.008,5.336,-10.22,19.144
2020-12-08 11:00:00,-11.694,-10.744,282.518,294.812,1.715,240.732,1.104,0.0,5.802,99.417,-13.244,0.0,-0.715,-11.682,-1.037,0.005,3.454,7.844,15.794
2020-12-08 11:30:00,-11.299,-9.88,282.091,293.935,1.619,247.104,1.096,0.0,5.768,99.425,-13.262,0.0,-0.133,-10.338,0.32,0.011,7.669,2.891,15.644
2020-12-08 12:00:00,-11.587,-9.793,276.604,292.522,1.892,274.207,1.11,0.0,5.745,99.438,-17.713,0.0,1.308,-10.223,0.447,0.004,2.848,1.358,12.556
2020-12-08 12:30:00,-11.002,-10.702,330.408,349.034,1.962,281.04,1.108,0.0,5.708,99.46,-18.926,0.0,93.58,-11.945,-1.268,0.027,18.75,43.429,15.491
2020-12-08 13:00:00,0.362,-5.307,278.209,291.834,2.354,278.348,1.09,0.0,5.68,99.485,-7.956,-1.489,0.575,-11.541,-0.865,0.008,5.337,5.411,15.588
2020-12-08 13:30:00,25.466,3.813,276.231,292.049,2.383,281.332,1.066,0.0,5.643,99.495,5.834,0.1,9.327,-12.511,-1.843,0.016,11.253,13.112,15.569
2020-12-08 14:00:00,75.689,25.042,258.788,291.685,2.168,276.082,1.042,0.0,5.617,99.491,17.751,0.322,0.956,-12.444,-1.79,0.009,6.267,10.228,14.74
2020-12-08 14:30:00,125.602,46.401,239.396,290.466,1.876,266.61,1.007,0.0,5.591,99.496,28.13,0.37,6.971,-11.626,-0.993,0.012,8.111,25.604,15.413
2020-12-08 15:00:00,178.161,62.851,231.789,291.178,1.524,262.793,0.995,0.0,5.562,99.504,55.92,0.359,1.379,-16.879,-6.278,0.02,13.607,42.876,16.261
2020-12-08 15:30:00,128.735,47.682,246.192,293.316,1.634,233.082,1.007,0.0,5.531,99.497,33.929,0.369,0.838,-2.904,7.65,0.006,4.22,14.972,17.758
2020-12-08 16:00:00,161.781,58.799,266.32,299.799,1.023,174.505,1.026,0.0,5.52,99.458,69.503,0.363,0.497,-11.709,-1.211,0.012,8.042,18.984,20.949
2020-12-08 16:30:00,119.486,41.154,280.012,300.862,1.4,239.619,1.025,0.0,5.484,99.404,57.482,0.343,3.956,-7.484,2.946,0.014,9.408,24.018,16.672
2020-12-08 17:00:00,93.31,31.779,280.527,300.022,1.317,277.321,1.074,0.0,5.47,99.384,42.036,0.341,1.749,-9.475,0.883,0.013,8.995,25.775,15.974
2020-12-08 17:30:00,93.69,31.543,279.961,300.154,1.217,270.061,1.078,0.0,5.453,99.35,41.954,0.337,6.29,-10.867,-0.577,0.02,13.901,24.855,15.003
2020-12-08 18:00:00,99.416,32.44,279.657,300.557,1.474,220.657,1.065,0.0,5.447,99.332,46.076,0.326,4.453,-10.222,0.003,0.016,10.985,29.549,16.87
2020-12-08 18:30:00,79.532,25.207,279.649,299.641,1.3,224.472,1.078,0.0,5.428,99.325,34.334,0.317,-0.795,-9.511,0.654,0.022,15.527,31.817,15.068
